title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Operating Systems,CS2006,BDS-5A,Ms. Rubab Anum,3.0,BS,DS,CS,Core,False,CS-10,Tuesday,08:30,09:50
Design and Analysis of Algorithms,CS2009,BDS-5B,Dr. Maryam Bashir,3.0,BS,DS,CS,Core,False,CS-10,Tuesday,10:00,11:20
Data Structures,CS2001,BCS-3G,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,CS-10,Tuesday,11:30,12:50
Data Structures,CS2001,BCS-3H,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,CS-10,Tuesday,13:00,14:20
Computer Networks,CS3001,BCS-5G,Dr. Zeeshan Ali Khan,3.0,BS,CS,CS,Core,False,CS-10,Tuesday,14:30,15:50
Technical and Business Writing,SS2007,BCS-5C,Ms.Hajra Ikram,3.0,BS,CS,HSS,Core,False,CS-10,Tuesday,16:00,17:20
Operating Systems,CS2006,BDS-5B,Ms. Namra Absar,3.0,BS,DS,CS,Core,False,CS-11,Tuesday,08:30,09:50
Programming Fundamentals,CS1002,BCS-1F,Dr. Asma Naseer,3.0,BS,CS,CS,Core,False,CS-11,Tuesday,10:00,11:20
Programming Fundamentals,CS1002,BCS-1G,Dr. Asma Naseer,3.0,BS,CS,CS,Core,False,CS-11,Tuesday,11:30,12:50
Design and Analysis of Algorithms,CS2009,BDS-5A,Dr. Maryam Bashir,3.0,BS,DS,CS,Core,False,CS-11,Tuesday,13:00,14:20
Database Systems,CS2005,BCS-5C,Mr. Muhammad Naveed,3.0,BS,CS,CS,Core,True,CS-11,Tuesday,14:30,15:50
Discrete Structures,CS1005,BCS-3D,Dr. Shazia Javaid,3.0,BS,CS,CS,Core,False,CS-15,Tuesday,08:30,09:50
Information Security,CS3002,BDS-7A,Dr. Ammar Haider,3.0,BS,DS,CS,Core,False,CS-15,Tuesday,10:00,11:20
Software Design and Analysis,CS3004,BCS-5E,Mr. Zeeshan Nazar,3.0,BS,CS,CS,Core,False,CS-15,Tuesday,11:30,12:50
Human Computer Interaction,CS2007,BSE-3C,,3.0,BS,SE,SE,Core,False,CS-15,Tuesday,13:00,14:20
